#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=11173 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:18.62 aq:16.36 tex:1819327 mv:281630 misc:6171 imb:8160 pmb:0 smb:0 d:- ref:;
in:83 out:85 type:b dur:2 cpbdur:2 q:28.15 aq:27.20 tex:243028 mv:51020 misc:6080 imb:956 pmb:4277 smb:2927 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:28.07 aq:27.37 tex:279496 mv:61789 misc:5715 imb:1212 pmb:4414 smb:2534 d:- ref:0 ;
in:90 out:87 type:P dur:2 cpbdur:2 q:27.97 aq:25.37 tex:465169 mv:77007 misc:1032 imb:5382 pmb:2712 smb:66 d:- ref:0 ;
in:88 out:88 type:B dur:2 cpbdur:2 q:28.00 aq:25.05 tex:285032 mv:89368 misc:4376 imb:2432 pmb:4656 smb:1072 d:- ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:28.01 aq:25.92 tex:114261 mv:59355 misc:7056 imb:1154 pmb:4053 smb:2953 d:- ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:27.98 aq:26.58 tex:175587 mv:59579 misc:6642 imb:1264 pmb:4318 smb:2578 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:27.77 aq:24.82 tex:352494 mv:64870 misc:3772 imb:2569 pmb:4473 smb:1118 d:- ref:0 ;
in:95 out:92 type:P dur:2 cpbdur:2 q:27.82 aq:25.57 tex:586811 mv:66981 misc:1208 imb:5777 pmb:2257 smb:126 d:- ref:0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:27.79 aq:25.50 tex:380621 mv:72411 misc:4664 imb:1170 pmb:5582 smb:1408 d:- ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:27.78 aq:27.43 tex:162691 mv:40172 misc:6825 imb:284 pmb:4495 smb:3381 d:- ref:0 ;
